Rank,School,Frequency,Part,Region,Type
1,UNIVERSITY OF MINDANAO-DAVAO CITY,50,Mindanao,Davao Region (Region XI),Private
2,UNIVERSITY OF SOUTHEASTERN PHILIPPINES-TAGUM,43,Mindanao,Davao Region (Region XI),Public
3,UNIVERSITY OF SOUTHEASTERN PHILIPPINES-DAVAO CITY,35,Mindanao,Davao Region (Region XI),Public
4,MINDANAO STATE UNIVERSITY-GENERAL SANTOS CITY,28,Mindanao,Soccsksargen (Rehiyon XII)‎,Public
5,UNIVERSITY OF MINDANAO-TAGUM,24,Mindanao,Davao Region (Region XI),Private
6,UNIVERSITY OF THE PHILIPPINES- DILIMAN,23,Luzon,National Capital Region (NCR),Public
7,CEBU NORMAL UNIVERSITY (CEBU STATE COLLEGE),19,Visayas,Central Visayas (Region VII) ,Public
8,UNIVERSITY OF MINDANAO-DIGOS COLLEGE,17,Mindanao,Davao Region (Region XI),Private
9,COR JESU COLLEGE (HOLY CROSS OF DIGOS),13,Mindanao,Davao Region (Region XI),Private
9,DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,13,Mindanao,Davao Region (Region XI),Public
10,HOLY CROSS OF DAVAO COLLEGE,11,Mindanao,Davao Region (Region XI),Private
11,COMPOSTELA VALLEY STATE COLLEGE-MAIN,9,Mindanao,Davao Region (Region XI),Public
11,PHILIPPINE NORMAL UNIVERSITY-MINDANAO,9,Mindanao,Caraga (Region XIII),Public
12,COMPOSTELA VALLEY STATE COLLEGE-MONTEVISTA BRANCH,8,Mindanao,Davao Region (Region XI),Public
12,"SOUTHERN PHILS.AGRI,BUSS,MARINE & AQUATIC SCH.OF TECH-MATI",8,Mindanao,Davao Region (Region XI),Public
12,UNIVERSITY OF SOUTHERN MINDANAO-KABACAN,8,Mindanao,Soccsksargen (Rehiyon XII)‎,Public
12,ATENEO DE NAGA UNIVERSITY,7,Luzon,Bicol Region (Region V),Private
13,BUKIDNON STATE UNIVERSITY-(FOR BUKIDNON STATE COLL)- MAIN,7,Mindanao,Northern Mindanao (Region X),Public
13,CARAGA STATE UNIVERSITY-BUTUAN CITY,7,Mindanao,Caraga Region (Region XIII),Public
13,CEBU TECHNOLOGICAL UNIVERSITY-MAIN (for CSCST),7,Visayas,Central Visayas (Region VII) ,Public
13,DAVAO DEL NORTE STATE COLLEGE,7,Mindanao,Davao Region (Region XI) ,Public
13,MINDANAO STATE UNIVERSITY-ILIGAN INSTITUTE OF TECHNOLOGY,7,Mindanao,Northern Mindanao (Region X),Public
13,TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECHNOLOGY),7,Luzon,Central Luzon (Region III),Public
13,WEST VISAYAS STATE UNIVERSITY-LA PAZ,7,Visayas,Western Visayas (Region VI),Public
13,XAVIER UNIVERSITY,7,Mindanao,Northern Mindanao (Region X),Private
14,AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,6,Mindanao,Caraga Region (Region XIII),Public
14,ATENEO DE DAVAO UNIVERSITY,6,Mindanao,Davao Region (Region XI),Private
14,BULACAN STATE UNIVERS TY-MALOLOS,6,Luzon,Central Luzon (Region III),Public
14,LEYTE NORMAL UNIVERSITY,6,Visayas,Eastern Visayas (Region VIII),Public
14,PHILIPPINE NORMAL UNIVERSITY-MANILA,6,Luzon,National Capital Region (NCR),Public
14,POLYTECHNIC UNIVERSITY OF THE PHILIPPINES-MAIN-STA. MESA,6,Luzon,National Capital Region (NCR),Public
14,RAMON MAGSAYSAY MEMORIAL COLLEGES,6,Mindanao,Soccsksargen (Region XII),Private
14,SURIGAO STATE COLLEGE OF TECHNOLOGY,6,Mindanao,Caraga Region (Region XIII),Public
14,UNIVERSITY OF THE PHILIPPINES-LOS BANOS,6,Luzon,Calabarzon (Region IV-A),Public
15,BUKIDNON STATE UNIVERSITY,5,Mindanao,Northern Mindanao (Region X),Public
15,CEBU TECHNOLOGICAL UNIVERSITY-MOALBOAL (for CSCST),5,Visayas,Central Visayas (Region VII),Public
15,JOHN PAUL II COLLEGE,5,Mindanao,Davao Region (Region XI),Private
15,LA SALLE UNIVERSITY (FOR IMMA. CONCEPCION-LA SALLE),5,Luzon,CALABARZON (Region IV-A),Private
15,MINDANAO STATE UNIVERSITY-MARAWI CITY,5,Mindanao,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Public
15,NOTRE DAME OF MARBEL UNIVERSITY,5,Mindanao,Soccsksargen (Region XII),Private
15,PAMANTASAN NG LUNGSOD NG VALENZUELA,5,Luzon,National Capital Region (NCR),Public
