School,Frequency
UNIVERSITY OF SOUTHEASTERN PHILIPPINES-TAGUM,38
UNIVERSITY OF MINDANAO-DAVAO CITY,34
UNIVERSITY OF SOUTHEASTERN PHILIPPINES-DAVAO CITY,25
MINDANAO STATE UNIVERSITY-GEN. SANTOS CITY,18
UNIVERSITY OF MINDANAO – DAVAO CITY,14
CEBU NORMAL UNIVERSITY (CEBU STATE COLLEGE),14
UNIVERSITY OF MINDANAO-TAGUM,13
UNIVERSITY OF MINDANAO-DIGOS COLLEGE,12
COR JESU COLLEGE (HOLY CROSS OF DIGOS),12
DAVAO ORIENTAL STATE COLLEGE OF SCIENCE & TECHNOLOGY,11
UNIVERSITY OF THE PHILIPPINES- DILIMAN,11
HOLY CROSS OF DAVAO COLLEGE,11
MINDANAO STATE UNIVERSITY – GENERAL SANTOS CITY,9
UNIVERSITY OF MINDANAO – TAGUM,9
XAVIER UNIVERSITY,7
BUKIDNON STATE UNIVERSITY-(FOR BUKIDNON STATE COLL)- MAIN,7
DAVAO DEL NORTE STATE COLLEGE,7
"SOUTHERN PHILS.AGRI,BUSS,MARINE & AQUATIC SCH.OF TECH-MATI",7
UNIVERSITY OF THE PHILIPPINES – DILIMAN,7
UNIVERSITY OF SOUTHEASTERN PHILIPPINES – DAVAO CITY,7
RAMON MAGSAYSAY MEMORIAL COLLEGES,6
CARAGA STATE UNIVERSITY-BUTUAN CITY,6
AGUSAN DEL SUR STATE COLLEGE OF AGRICULTURE & TECHNOLOGY,6
CEBU TECHNOLOGICAL UNIVERSITY – MAIN (for CSCST),6
LEYTE NORMAL UNIVERSITY,6
SURIGAO STATE COLLEGE OF TECHNOLOGY,6
UNIVERSITY OF THE IMMACULATE CONCEPTION-DAVAO,5
NOTRE DAME OF MARBEL UNIVERSITY,5
MINDANAO STATE UNIVERSITY – MARAWI CITY,5
PHILIPPINE NORMAL UNIVERSITY – MANILA,5
UNIVERSITY OF SANTO TOMAS,5
COMPOSTELA VALLEY STATE COLLEGE - MAIN,5
PHILIPPINE NORMAL UNIVERSITY- MINDANAO,5
UNIVERSITY OF SOUTHERN MINDANAO-KABACAN,5
PAMANTASAN NG LUNGSOD NG VALENZUELA,5
TARLAC STATE UNIVERSITY (TARLAC COLLEGE OF TECHNOLOGY),4
CENTRAL MINDANAO UNIVERSITY,4
COMPOSTELA VALLEY STATE COLLEGE - MONTEVISTA BRANCH,4
MINDANAO STATE UNIVERSITY – ILIGAN INSTITUTE OF TECHNOLOGY,4
SOUTHERN CHRISTIAN COLLEGE,4
