year,month,HOM_tag,HOM_total,Entertainment,Food,HealthFitness,Home,KidsPets,PersonalCare,Grocery,Miscellaneous,Shopping,Travel,Entertainment_Freq,Food_Freq,HealthFitness_Freq,Home_Freq,KidsPets_Freq,PersonalCare_Freq,Grocery_Freq,Miscellaneous_Freq,Shopping_Freq,Travel_Freq,next_HOM_total,gender,job,Entertainment,Food,HealthFitness,Home,KidsPets,PersonalCare,Grocery,Miscellaneous,Shopping,Travel,Entertainment_Freq,Food_Freq,HealthFitness_Freq,Home_Freq,KidsPets_Freq,PersonalCare_Freq,Grocery_Freq,Miscellaneous_Freq,Shopping_Freq,Travel_Freq,dob,Travel_Freq,Total_Spending,Average_Spending,Most_Frequent_Category
2020,8,2,114.70332579870974,71.6138869550776,2,126.29195986175567,5,160.8501686514398,2,192.90358261462057,1,7.599765223895094,0,82.16846130480245,0,131.70840741643687,4,150.66062811016906,6,104.81678029597768,5,51.762803109593825,6,114.70332579870974,M,Engineer,158.20412704290675,46.22934852254601,59.3874994927984,166.46095606330803,177.70341050463358,35.267304938547085,57.37088811404265,65.70799988957661,190.1285601610406,48.141447098949584,191.78632045378586,10.462361753415683,133.97043162527058,160.36225952047084,177.35155950852166,194.49016545549463,35.57109996754848,112.16606835148002,185.43967076770429,7.813561094485921,1996-12-17,8,1056.4744846891615,48.021567485870975,Food
2019,2,2,421.2843400996784,198.6596140181254,0,9.208136884547603,8,24.900317453047684,2,165.5996934784398,7,14.640679273673207,5,64.54680043766948,5,184.9319661177181,1,133.28625636526445,5,120.95995799542621,2,57.4731607268494,7,421.2843400996784,M,Teacher,51.944250618716396,94.12346344667739,22.791934506432266,8.71814394046353,69.33617047300696,22.469388833685812,152.02142373831973,165.99668077203503,76.18450303663245,81.66460295271887,124.44383343990009,121.78826120574956,16.311980739135535,114.31764673452665,47.454108519638226,196.05073815125397,132.31743445286187,74.82384711314512,10.904220216439487,15.471480579294372,1967-04-14,3,1124.633012448644,59.191211181507576,Home
2012,7,2,367.23928180772486,128.62293245351825,4,168.3542266165925,7,15.587269787573144,8,6.7065589980980445,7,169.59717974814097,1,58.3240853892991,5,92.69181562593138,1,187.44000193945786,8,67.26358511211703,9,42.05990756299338,10,367.23928180772486,F,Artist,87.05570853377978,61.69291652502344,41.63647538571731,127.7410667967826,109.86183391702315,171.03188264786337,199.89030625830384,106.6185899295397,136.28015344927863,170.40156543943348,98.67079399556367,107.05819629516166,52.48097479400968,50.10956645112068,173.7964702360324,28.79313060306159,67.9972990975606,131.0518540069458,22.776858279273206,164.85173588777445,1969-09-16,6,1380.2154539938656,106.17041953798966,Food
2011,3,1,323.8024377473007,54.9066900262424,7,96.94913122293688,10,137.02454767003792,9,180.65826056356133,1,85.69678274572028,3,120.38242430660343,1,89.78868572993635,10,0.19736335330777788,4,111.84364282273798,0,109.24748290712168,8,323.8024377473007,M,Doctor,86.63275040211971,109.84740903475598,28.83063947861677,196.92066484221826,191.10093350459357,151.02651818955354,23.68198763670335,101.04153325558711,141.5369926411009,191.43999743408224,173.02069417174047,167.62353836327785,28.531068499398838,61.82156039369786,173.66490413112,121.99663514840611,155.5532999150507,6.164299467674272,129.2768245139432,142.77957157124368,1996-08-15,5,1084.6618109175186,40.172659663611796,HealthFitness
2010,4,2,235.02415316693535,59.69434979510213,5,73.9470250991982,7,25.192593183064172,8,123.86062113914606,4,123.39737725690124,0,87.004999306813,4,50.2834904804545,5,88.34015252118905,0,93.0959262096782,8,56.68425372715249,4,235.02415316693535,F,Teacher,38.531239457468125,20.835091126241068,4.245990151374435,141.24725319551465,70.14685623046748,154.4142484832843,83.89403871466357,0.6093564794101614,108.71730737846906,47.55706916137865,137.87201652189563,27.225402883694837,167.0843234942063,85.38939806505728,192.28780069914734,136.3246519142738,187.86546095678926,173.82802340602555,15.171191151921315,192.36764503837236,1994-12-12,6,1945.126477644689,108.06258209137161,Travel
2020,8,1,353.3304925967455,42.020837162690206,10,116.31193602842723,9,20.699634934182875,6,86.32801604744971,1,110.45091101703659,6,158.3821618042986,1,98.17158870607989,4,197.4532592504449,8,43.91902096775273,2,54.19426475511102,1,353.3304925967455,F,Manager,159.45698384886765,192.730488081518,108.42574026382216,199.4358138462793,44.35879931057987,124.98169248048612,189.75784016036894,72.62584953209192,72.17477018820675,190.223706409857,149.37230138877547,79.59216599742618,121.41679047757489,143.77604823200184,165.38829551302408,139.66402517906076,140.77497959743707,129.2946342487964,73.2065751463958,65.495707762444,2002-07-01,2,819.7310466861462,40.98655233430731,HealthFitness
2017,9,1,192.4904614887328,48.75872256154749,10,63.36229798710114,3,117.98929764481258,6,17.351440013214226,7,155.57367037407616,10,31.119421635913945,1,69.34324457932553,6,103.82548998559653,3,158.3054079536282,2,127.68768282125087,7,192.4904614887328,M,Teacher,130.73018356106726,74.73501500608342,54.60274967878571,59.813341123251426,105.2330864650045,12.812368505463812,191.1897706953156,52.09000448974561,194.90787682429033,183.64771252897003,157.3399770181712,50.59130913391095,33.83448343897164,85.92987255037568,191.3575896910494,51.35533304791966,45.6680452833514,140.57208290600846,14.793351392264276,30.043544654096642,2000-05-10,6,1506.5861771126545,136.96237973751406,Travel
2011,9,1,295.5635932199072,8.59125454602876,6,143.12259961832075,6,48.4745347592678,6,128.05725201090135,6,92.92693118275443,8,152.10977114972403,7,67.31242857381629,7,79.46346145262272,10,35.51056409683129,2,156.3581421723385,0,295.5635932199072,F,Teacher,173.1774616687506,34.75599020187148,80.12975371336417,19.01881188743011,34.01376319812124,112.79792697526503,129.1672252278366,132.5553695881273,127.30597952326308,133.7855282488218,193.66810470399807,23.62333767660443,63.56427851806519,47.12739702560273,14.435910191485512,92.42341680301635,48.75879322965626,96.888417257185,15.217947900401118,133.12066570266754,1985-03-29,1,1116.5494652278005,48.54562892294785,Entertainment
2017,2,1,193.45974875122988,189.44347711039802,0,199.09450219401842,1,123.83282295671509,5,125.65212846426925,2,68.3142079814274,5,133.26492054372304,0,147.6520043302564,8,43.040104699110906,7,53.80370479535661,0,4.176269746586803,0,193.45974875122988,F,Doctor,97.01171249939911,145.00689712475997,189.6935239886206,183.27291519196726,178.82616278603413,82.79953063140543,175.57459810343465,115.57587181207253,61.355982246740595,32.80022645560201,133.69769567646986,65.14370868578642,47.91827763633884,94.26471521743593,5.05879930670512,46.97496532513969,133.07470319481186,148.66537080938232,13.013784880663604,64.83951924646124,1996-10-08,10,584.4233777038363,20.152530265649528,Travel
2021,4,1,456.4945244519743,26.905239679285486,9,154.79252912673485,2,180.5769593171828,5,40.996867532731216,0,116.11746076739804,2,162.76995220620893,9,195.15546978320353,2,71.218217710324,4,186.3866246728217,10,32.08046407709433,8,456.4945244519743,F,Doctor,173.30820126874704,48.303374479532565,1.380872098849406,129.68938825607816,107.15566611475484,64.32002033927182,95.56352438835529,45.1922447184671,58.23786811646718,142.98186223423968,196.08370183808043,22.776431365925287,46.63414570651565,69.41955186293873,71.97699511134562,55.41280857119719,5.594088492659588,17.959799362162123,145.13774377477148,26.47536720228707,1984-11-09,3,1382.2169874947006,115.18474895789171,Travel
2013,2,2,357.3315663175396,35.12160479475328,3,9.451391192596748,10,127.11949694868095,0,104.10198546803318,3,6.3510449460252305,8,74.63845529314948,0,172.6185385774479,5,8.339731241993164,4,126.84373136874673,7,33.85794360731176,9,357.3315663175396,M,Teacher,81.31279651909146,75.60628450440039,21.815188434496413,27.953873780018345,2.0695712837280444,41.6012102081234,29.675102096869278,2.8584184966997217,185.44631994839605,83.41682900551861,135.18591458775168,172.18151511650882,169.6121344024767,124.015797384522,192.34139427948259,172.65265590661295,68.96998186370983,93.85858143195765,173.40294039835288,45.783706101533085,1969-10-01,9,606.464703890588,43.31890742075628,Food
