support,itemsets
1.0,frozenset({'Entertainment_Freq'})
0.913,frozenset({'Food_Freq'})
1.0,frozenset({'HealthFitness_Freq'})
0.918,frozenset({'Home_Freq'})
1.0,frozenset({'KidsPets_Freq'})
0.919,frozenset({'PersonalCare_Freq'})
1.0,frozenset({'Grocery_Freq'})
0.89,frozenset({'Miscellaneous_Freq'})
1.0,frozenset({'Shopping_Freq'})
0.902,frozenset({'Travel_Freq'})
0.913,"frozenset({'Food_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})"
0.918,"frozenset({'Home_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'KidsPets_Freq', 'Entertainment_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'Entertainment_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'Entertainment_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'Entertainment_Freq'})"
0.902,"frozenset({'Entertainment_Freq', 'Travel_Freq'})"
0.913,"frozenset({'Food_Freq', 'HealthFitness_Freq'})"
0.837,"frozenset({'Home_Freq', 'Food_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq'})"
0.839,"frozenset({'Food_Freq', 'PersonalCare_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Food_Freq', 'Miscellaneous_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Food_Freq', 'Travel_Freq'})"
0.918,"frozenset({'Home_Freq', 'HealthFitness_Freq'})"
1.0,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'HealthFitness_Freq', 'PersonalCare_Freq'})"
1.0,"frozenset({'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq'})"
1.0,"frozenset({'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'HealthFitness_Freq', 'Travel_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq'})"
0.844,"frozenset({'Home_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Grocery_Freq', 'Home_Freq'})"
0.81,"frozenset({'Home_Freq', 'Miscellaneous_Freq'})"
0.918,"frozenset({'Shopping_Freq', 'Home_Freq'})"
0.831,"frozenset({'Home_Freq', 'Travel_Freq'})"
