support,itemsets
1,frozenset({'Entertainment_Freq'})
0.913,frozenset({'Food_Freq'})
1,frozenset({'HealthFitness_Freq'})
0.918,frozenset({'Home_Freq'})
1,frozenset({'KidsPets_Freq'})
0.919,frozenset({'PersonalCare_Freq'})
1,frozenset({'Grocery_Freq'})
0.89,frozenset({'Miscellaneous_Freq'})
1,frozenset({'Shopping_Freq'})
0.902,frozenset({'Travel_Freq'})
0.913,"frozenset({'Entertainment_Freq', 'Food_Freq'})"
1,"frozenset({'Entertainment_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Entertainment_Freq', 'Home_Freq'})"
1,"frozenset({'Entertainment_Freq', 'KidsPets_Freq'})"
0.919,"frozenset({'Entertainment_Freq', 'PersonalCare_Freq'})"
1,"frozenset({'Entertainment_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Entertainment_Freq', 'Miscellaneous_Freq'})"
1,"frozenset({'Entertainment_Freq', 'Shopping_Freq'})"
0.902,"frozenset({'Travel_Freq', 'Entertainment_Freq'})"
0.913,"frozenset({'HealthFitness_Freq', 'Food_Freq'})"
0.837,"frozenset({'Home_Freq', 'Food_Freq'})"
0.913,"frozenset({'KidsPets_Freq', 'Food_Freq'})"
0.839,"frozenset({'PersonalCare_Freq', 'Food_Freq'})"
0.913,"frozenset({'Grocery_Freq', 'Food_Freq'})"
0.812,"frozenset({'Miscellaneous_Freq', 'Food_Freq'})"
0.913,"frozenset({'Shopping_Freq', 'Food_Freq'})"
0.824,"frozenset({'Travel_Freq', 'Food_Freq'})"
0.918,"frozenset({'Home_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'KidsPets_Freq', 'HealthFitness_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Grocery_Freq', 'HealthFitness_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'HealthFitness_Freq'})"
1,"frozenset({'Shopping_Freq', 'HealthFitness_Freq'})"
0.902,"frozenset({'Travel_Freq', 'HealthFitness_Freq'})"
0.918,"frozenset({'Home_Freq', 'KidsPets_Freq'})"
0.844,"frozenset({'Home_Freq', 'PersonalCare_Freq'})"
0.918,"frozenset({'Home_Freq', 'Grocery_Freq'})"
0.81,"frozenset({'Miscellaneous_Freq', 'Home_Freq'})"
0.918,"frozenset({'Home_Freq', 'Shopping_Freq'})"
0.831,"frozenset({'Travel_Freq', 'Home_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'KidsPets_Freq'})"
1,"frozenset({'KidsPets_Freq', 'Grocery_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'KidsPets_Freq'})"
1,"frozenset({'KidsPets_Freq', 'Shopping_Freq'})"
0.902,"frozenset({'Travel_Freq', 'KidsPets_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'Grocery_Freq'})"
0.813,"frozenset({'Miscellaneous_Freq', 'PersonalCare_Freq'})"
0.919,"frozenset({'PersonalCare_Freq', 'Shopping_Freq'})"
0.829,"frozenset({'Travel_Freq', 'PersonalCare_Freq'})"
0.89,"frozenset({'Miscellaneous_Freq', 'Grocery_Freq'})"
1,"frozenset({'Grocery_Freq', 'Shopping_Freq'})"
