antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Food_Freq'}),frozenset({'Entertainment_Freq'}),0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'PersonalCare_Freq'})","frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.844,1.0,0.844,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Food_Freq'})","frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Food_Freq'})","frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Entertainment_Freq'})","frozenset({'Grocery_Freq', 'Shopping_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Travel_Freq'})","frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.824,1.0,0.824,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Miscellaneous_Freq'})","frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.812,1.0,0.812,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'Travel_Freq'})","frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.824,1.0,0.824,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'KidsPets_Freq'})","frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'HealthFitness_Freq'})","frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})","frozenset({'KidsPets_Freq', 'HealthFitness_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Grocery_Freq', 'Home_Freq'})","frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Food_Freq', 'HealthFitness_Freq'})","frozenset({'KidsPets_Freq', 'Entertainment_Freq'})",0.913,1.0,0.913,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'HealthFitness_Freq'})","frozenset({'Grocery_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})","frozenset({'Grocery_Freq', 'HealthFitness_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Miscellaneous_Freq'})","frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.81,1.0,0.81,1.0,1.0,0.0,inf,0.0
"frozenset({'Shopping_Freq', 'Home_Freq'})","frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'HealthFitness_Freq'})","frozenset({'Shopping_Freq', 'Entertainment_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Entertainment_Freq'})","frozenset({'Shopping_Freq', 'HealthFitness_Freq'})",0.918,1.0,0.918,1.0,1.0,0.0,inf,0.0
"frozenset({'Home_Freq', 'Travel_Freq'})","frozenset({'HealthFitness_Freq', 'Entertainment_Freq'})",0.831,1.0,0.831,1.0,1.0,0.0,inf,0.0
